Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Bulding Number,Borough,Postcode,Business Address,Latitude,Longitude
both,Connolly’s Restaurant,14E,Manhattan,10017,"14E 47th st, Manhattan, NY",40.756289,-73.977719
sidewalk,CODE RED RESTAURANT & LOUNGE,1320,Bronx,10469,"1320  E GUN HILL RD, Bronx, NY",40.871385,-73.84803
both,Tipsy NoMad,37,Manhattan,10016,"37  E 28th St , Manhattan, NY",40.743832,-73.985254
sidewalk,jamco resturant inc,202-24,Queens,11697,"202-24  rockaway point blvd, Queens, NY",40.560783,-73.911783
roadway,Roots Cafe,639a,Brooklyn,11215,"639a 5th Ave, Brooklyn, NY",40.662942,-73.991753
both,The Consulate,519,Manhattan,10024,"519 Columbus Avenue, Manhattan, NY",40.785904,-73.972588
both,Moonrise Izakaya,774,Manhattan,10025,"774 Amsterdam Ave, Manhattan, NY",40.795238,-73.969522
both,M&G  Restaurant 11corp,2472,Bronx,10458,"2472 Arthur Avenue , Bronx, NY",40.85714,-73.886201
both,Evo Cocktail Lounge & Restaurant,1306,Bronx,10462,"1306 Unionport Rd. , Bronx, NY",40.834275,-73.853738
sidewalk,Kai Fan,3717,Bronx,10463,"3717 Riverdale Avenue , Bronx, NY",40.887273,-73.907154
sidewalk,vincents bagels inc,500,Staten Island,10310,"500 henderson ave, Staten Island, NY",40.63813,-74.109196
sidewalk,Syndicated,40,Brooklyn,11206,"40 Bogart Street, Brooklyn, NY",40.704742,-73.933124
both,Dudley's,85,Manhattan,10002,"85 Orchard Street, Manhattan, NY",40.717873,-73.990375
both,Bearded Lady,686A,Brooklyn,11238,"686A Washington Avenue, Brooklyn, NY",40.67738,-73.963692
both,STK,28,Manhattan,10014,"28 Little West 12th street, Manhattan, NY",40.740026,-74.007311
both,AMELIE,22,Manhattan,10011,"22  WEST 8TH STREET, Manhattan, NY",40.732637,-73.997276
sidewalk,Honeybrains,34,Manhattan,10010,"34 west 22nd street, Manhattan, NY",40.74139,-73.991307
both,Macao Trading company,311,Manhattan,10013,"311  church street, Manhattan, NY",40.71972,-74.004159
roadway,13 Sullivan Gents LLC,142,Manhattan,10012,"142 Sullivan Street, Manhattan, NY",40.726983,-74.001959
both,Sugar Freak Astoria,37-11,Queens,11103,"37-11 30th Avenue, Queens, NY",40.764567,-73.916404
both,Mad River Bar and Grille,1442,Manhattan,10028,"1442  Third Ave , Manhattan, NY",40.776034,-73.95603
